20150416153104,10.1.2.1,56448,10.1.5.1,5001,3,0.0-1.0,393216,3145728
20150416153106,10.1.2.1,56448,10.1.5.1,5001,3,1.0-2.0,393216,3145728
20150416153107,10.1.2.1,56448,10.1.5.1,5001,3,2.0-3.0,131072,1048576
20150416153108,10.1.2.1,56448,10.1.5.1,5001,3,3.0-4.0,262144,2097152
20150416153108,10.1.2.1,56448,10.1.5.1,5001,3,4.0-5.0,262144,2097152
20150416153110,10.1.2.1,56448,10.1.5.1,5001,3,5.0-6.0,262144,2097152
20150416153110,10.1.2.1,56448,10.1.5.1,5001,3,6.0-7.0,131072,1048576
20150416153111,10.1.2.1,56448,10.1.5.1,5001,3,7.0-8.0,393216,3145728
20150416153112,10.1.2.1,56448,10.1.5.1,5001,3,8.0-9.0,262144,2097152
20150416153114,10.1.2.1,56448,10.1.5.1,5001,3,9.0-10.0,262144,2097152
20150416153114,10.1.2.1,56448,10.1.5.1,5001,3,0.0-11.3,2883584,2040419
